Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91273467,-80.13787883,58:58.9,9/18/20,9,0.116,76.26,-7.021223397,1.58,77.7,72.94,1.52,-4.5,31.2,0,2.86,2.86,95,21,512.5,16.3,-1.3,D,1593.5,0,10.552,2,0.42,128,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,66,66,11,5,5,29.49849,0,9999.99,2.87,2.997,2,9,30.7,0,30.70000076,25.97,1537.53112,9/18/20,10:39:14,30.26,40.81,25.97,0.845,8.27,-76,-4.3,-1.4,-1342,76,4.96,13,
25.91273467,-80.13787883,58:59.9,9/18/20,9,0.116,76.26,-7.021223397,1.58,77.5,72.74,1.48,-6.45,31.2,0,2.87,2.87,95,21,512.5,16.3,-1.3,D,1593.5,0,10.552,2,0.42,174,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,65,65,11,49,49,53.11946,0,9999.99,2.88,3.007,2,9,30.6,0,30.70000076,25.98,1537.5415,9/18/20,10:39:15,30.26,40.83,25.98,0.82,8.27,-76.1,-4.4,-2.1,-2887,76,4.96,13.1,
25.91273467,-80.13787883,59:01.1,9/18/20,9,0.116,76.26,-7.021223397,1.58,73.3,68.7,2.15,0.58,31.2,0.01,2.88,2.89,95,25,512.5,16.2,-1.5,D,1370.3,0,10.552,2,0.42,174,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,74,74,11,62,62,53.11946,0,9999.99,2.91,3.037,2,9,30.6,0,30.60000038,25.99,1537.34429,9/18/20,10:39:16,30.25,40.84,25.99,0.828,8.27,-76.1,-4.5,-4,-2361,76,4.96,13,
25.91273467,-80.13787883,59:02.1,9/18/20,9,0.116,76.26,-7.021223397,1.58,74.8,70.15,1.16,-4.61,31.2,0,2.92,2.92,95,25,512.5,16.2,-1.5,D,1370.3,0,10.552,2,0.42,174,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,64,64,11,58,58,53.11946,0,9999.99,2.93,3.057,2,9,30.7,0,30.70000076,26.04,1537.60407,9/18/20,10:39:17,30.25,40.92,26.04,0.84,8.27,-76,-5.3,-2.6,-3885,76,4.96,13,
25.91273467,-80.13787883,59:03.2,9/18/20,9,0.116,76.26,-7.021223397,1.58,75.1,70.44,1.2,-5.38,31.1,0,3.05,3.05,95,25,512.5,16.2,-1.5,D,1370.3,0,10.552,2,0.42,174,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,64,64,11,58,58,53.11946,0,9999.99,3.06,3.187,2,9,30.6,0,30.60000038,26.05,1537.40594,9/18/20,10:39:18,30.25,40.92,26.05,0.878,8.27,-76.2,-4.6,0.1,-3639,76,4.96,13.2,
25.91273467,-80.13787883,59:04.2,9/18/20,9,0.116,76.26,-7.021223397,1.05,80.6,75.71,-4.89,1.27,31.2,0,2.67,2.67,95,25,512.5,16.2,-1.5,D,1370.3,0,10.552,2,0.42,174,53.12,-80.13779444,25.91279162,0,0,1,N,10.27442,52,52,11,56,56,53.11946,0,9999.99,2.67,2.797,2,9,30.6,0,30.60000038,26.1,1537.45776,9/18/20,10:39:19,30.22,40.99,26.1,0.86,8.27,-76,-4.8,-4.2,-2954,75.9,4.95,13.2,
25.912718,-80.13786,59:05.2,9/18/20,9,0.693,76.26,-7.021223217,1.01,72.1,67.54,-1.57,-3.21,31.2,0,2.8,2.8,95,40,512.4,16.2,-2.4,D,862.3,0,10.488,2,0.42,174,38.69,-80.13779444,25.91279162,0,0,1,N,10.27442,48,48,11,12,12,38.69424,0,9999.99,2.79,2.917,2,9,30.6,0,30.60000038,26.05,1537.40592,9/18/20,10:39:20,30.2,40.93,26.05,0.95,8.26,-75.6,-4,-5.1,-1700,75.9,4.96,13,
25.91271073,-80.13785464,59:06.2,9/18/20,9,0.257,76.26,-7.021223217,1.01,71.8,67.25,-1.05,-4.5,31.2,0,3.28,3.28,95,40,512.4,16.2,-2.4,D,862.3,0,10.824,2,0.48,174,33.8,-80.13779444,25.91279162,0,0,1,N,10.27442,50,50,11,5,5,33.88901,0,9999.99,3.27,3.397,2,9,30.6,0,30.60000038,26.01,1537.3645,9/18/20,10:39:21,30.17,40.86,26.01,0.942,8.26,-75.3,-5.2,-2.2,-1879,75.9,4.96,13.1,
25.91270944,-80.13785287,59:07.2,9/18/20,8,0.465,76.26,-7.021223217,1.06,72.5,67.93,-0.98,-4.42,31.2,0,3.26,3.27,95,40,512.4,16.2,-2.4,D,862.3,0,10.846,2,0.28,174,32.6,-80.13779444,25.91279162,0,0,1,N,10.27442,51,51,11,5,5,32.65504,0,9999.99,3.25,3.377,2,9,30.6,0,30.60000038,26.02,1537.37496,9/18/20,10:39:22,30.14,40.88,26.02,0.959,8.25,-75.1,-6,-1.7,-3447,75.7,4.95,13.1,
25.91271051,-80.13784892,59:08.2,9/18/20,9,0.41,76.26,-7.021223217,1.01,76.2,71.5,-3.18,24.9,31.2,0,3.28,3.28,95,40,512.4,16.2,-2.4,D,862.3,0,10.537,2,0.17,174,31.14,-80.13779444,25.91279162,0,0,1,N,10.27442,43,43,11,5,5,31.17425,0,9999.99,3.26,3.387,2,9,30.6,0,30.60000038,26.02,1537.37485,9/18/20,10:39:23,30.13,40.89,26.02,0.971,8.26,-75.2,-4.9,-4.4,-1448,75.4,4.93,13.1,
25.91270682,-80.13784984,59:09.2,9/18/20,9,0.339,76.26,-7.021223217,1.01,72.8,68.22,-2.06,19.7,31.3,0,3.31,3.31,95,37,512.4,16.2,-2.2,D,935.6,0,10.937,2,0.05,174,30.44,-80.13779444,25.91279162,0,0,1,N,10.27442,44,44,11,5,5,30.45321,0,9999.99,3.3,3.431859,2,9,30.6,0,30.60000038,26.01,1537.36454,9/18/20,10:39:24,30.13,40.87,26.01,0.93,8.25,-75.1,-4.9,1.2,819,75.2,4.92,13,
25.91270552,-80.13785032,59:10.2,9/18/20,9,0.289,76.26,-7.021223217,1.01,73.8,69.19,-1.37,1.55,31.2,0,3.31,3.31,95,37,512.4,16.2,-2.2,D,935.6,0,11.086,2,0.08,174,30.28,-80.13779444,25.91279162,0,0,1,N,10.27442,49,49,11,5,5,30.28647,0,9999.99,3.31,3.437,2,9,30.6,0,30.60000038,26,1537.35427,9/18/20,10:39:25,30.12,40.85,26,0.872,8.25,-74.8,-4.1,-1.5,-1008,75,4.9,13.1,
25.91270295,-80.1378504,59:11.2,9/18/20,9,0.178,76.26,-7.021223217,1.01,73.5,68.9,-0.2,7,31.2,0,1.77,1.77,95,37,512.4,16.2,-2.2,D,935.6,0,11.337,2,0.09,174,29.58,-80.13779444,25.91279162,0,0,1,N,10.27442,51,51,11,5,5,29.59684,0,9999.99,1.76,1.887,2,9,30.6,0,30.60000038,26.02,1537.37499,9/18/20,10:39:26,30.12,40.88,26.02,0.845,8.25,-74.8,-4.4,-0.2,-1695,74.7,4.88,13.1,
25.91270074,-80.13784874,59:12.2,9/18/20,9,0.237,76.26,-7.021223217,1.01,75.3,70.63,-2.21,10.9,31.2,0,2.79,2.79,95,30,512.4,16.2,-1.8,D,1135.3,0,11.473,2,0.04,174,28.26,-80.13779444,25.91279162,0,0,1,N,10.27442,44,44,11,5,5,28.25307,0,9999.99,2.78,2.90878,2,9,30.6,0,30.60000038,26.03,1537.38526,9/18/20,10:39:27,30.12,40.9,26.03,0.834,8.25,-74.8,-5.5,-2.1,-2430,74.4,4.86,13.1,
25.91269709,-80.1378471,59:13.2,9/18/20,9,0.327,76.26,-7.021223217,1.01,73.4,68.8,-1.22,5.06,31.2,0,3.35,3.35,95,30,512.4,16.2,-1.8,D,1135.3,0,11.757,2,0.04,174,26.62,-80.13779444,25.91279162,0,0,1,N,10.27442,50,50,11,5,5,26.60979,0,9999.99,3.34,3.467,2,9,30.6,0,30.60000038,26.04,1537.39567,9/18/20,10:39:28,30.12,40.9,26.04,0.782,8.25,-74.9,-5.3,-1.2,-2377,74,4.84,12.9,
25.91269526,-80.1378476,59:14.2,9/18/20,9,0.233,76.26,-7.021223217,1.01,74.7,70.05,-0.34,7.85,31.2,0,3.32,3.32,95,30,512.4,16.2,-1.8,D,1135.3,0,11.961,2,0.04,174,26.39,-80.13779444,25.91279162,0,0,1,N,10.27442,52,52,11,5,5,26.38749,0,9999.99,3.31,3.437,2,9,30.6,0,30.60000038,26.04,1537.39558,9/18/20,10:39:30,30.12,40.91,26.04,0.774,8.25,-74.8,-4.8,-2.7,-2507,73.5,4.81,13,
25.91269629,-80.1378464,59:15.2,9/18/20,8,0.177,76.26,-7.021223217,1.06,74.8,70.15,-1.24,7.3,31.2,0,3.33,3.34,95,30,512.4,16.2,-1.8,D,1135.3,0,11.805,2,0.02,174,26.12,-80.13779444,25.91279162,0,0,1,N,10.27442,46,46,11,5,5,26.11342,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.04,1537.39558,9/18/20,10:39:30,30.12,40.91,26.04,0.774,8.25,-74.8,-4.8,-2.7,-2507,73.5,4.81,13,
25.91269781,-80.13784489,59:16.2,9/18/20,9,0.116,76.26,-7.021223217,1.06,76,71.3,-1.41,8.2,31.2,0,3.33,3.33,95,31,512.4,16.2,-1.9,D,1103.5,0,11.587,2,0.02,174,25.82,-80.13779444,25.91279162,0,0,1,N,3.31E-03,49,49,11,5,5,26.12711,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.05,1537.40595,9/18/20,10:39:31,30.12,40.92,26.05,0.79,8.25,-74.9,-5.4,-4,-4805,73.2,4.79,13.1,
25.91269799,-80.13784388,59:17.3,9/18/20,8,0.196,76.26,-7.021223217,1.06,75.5,70.82,-1.26,8.2,31.2,0,3.34,3.34,95,31,512.4,16.2,-1.9,D,1103.5,0,11.526,2,0.01,174,25.41,-80.13779444,25.91279162,0,0,1,N,7.86E-02,49,49,11,5,5,25.23114,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.05,1537.40592,9/18/20,10:39:32,30.12,40.92,26.05,0.839,8.25,-74.8,-6.4,-5.2,-507,73,4.77,12.9,
25.91269981,-80.13784315,59:18.3,9/18/20,8,0.111,76.26,-7.021223217,1.06,74.6,69.96,-1.19,5.89,31.2,0,3.34,3.34,95,31,512.4,16.2,-1.9,D,1103.5,0,11.311,2,0.01,174,25.51,-80.13779444,25.91279162,0,0,1,N,5.51E-02,50,50,11,5,5,25.39972,0,9999.99,3.33,3.457,2,9,30.6,0,30.60000038,26.06,1537.41637,9/18/20,10:39:34,30.12,40.94,26.06,0.814,8.25,-74.7,-5.7,-3.8,-4265,72.5,4.74,13,
25.91270183,-80.13784199,59:19.3,9/18/20,9,0.04,76.26,-7.021223217,1.06,75.7,71.02,-1.87,8.1,31.2,0,3.33,3.33,95,31,512.3,16.2,-1.9,D,1087.7,0,11.059,2,0,174,25.47,-80.13779444,25.91279162,0,0,1,N,6.24E-02,46,46,11,5,5,25.3478,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.06,1537.41637,9/18/20,10:39:34,30.12,40.94,26.06,0.814,8.25,-74.7,-5.7,-3.8,-4265,72.5,4.74,13,
25.91270598,-80.13784266,59:20.3,9/18/20,9,0.149,76.26,-7.021223217,1.64,78.6,73.8,-1.24,9.6,31.2,0,3.34,3.34,95,31,512.3,16.2,-1.9,D,1087.7,0,10.674,2,0.01,174,26.86,-80.13779444,25.91279162,0,0,1,N,0.1991285,49,49,11,5,5,27.22043,0,9999.99,3.33,3.457,2,9,30.6,0,30.60000038,26.06,1537.41635,9/18/20,10:39:35,30.12,40.94,26.06,0.813,8.25,-74.9,-3.9,-1.6,278,72.4,4.73,13.1,
25.91270892,-80.13784465,59:21.3,9/18/20,8,0.061,76.26,-7.021223217,1.64,78.6,73.8,-1.51,6.68,31.2,0,3.32,3.33,95,31,512.3,16.2,-1.9,D,1087.7,0,10.477,2,0.03,174,28.64,-80.13779444,25.91279162,0,0,1,N,0.523145,52,52,11,5,5,29.53583,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.1,1537.45789,9/18/20,10:39:37,30.12,40.99,26.1,0.813,8.24,-74.5,-5.3,0.8,-3364,72,4.71,13.1,
25.91271109,-80.13784681,59:22.3,9/18/20,8,0.067,76.26,-7.021223217,1.64,77.9,73.13,-0.89,8.9,31.2,0,3.32,3.32,95,31,512.3,16.2,-1.9,D,1087.7,0,10.374,2,0.03,174,30.32,-80.13779444,25.91279162,0,0,1,N,0.820216,52,52,11,5,5,31.64812,0,9999.99,3.31,3.437,2,9,30.6,0,30.60000038,26.1,1537.45789,9/18/20,10:39:37,30.12,40.99,26.1,0.813,8.24,-74.5,-5.3,0.8,-3364,72,4.71,13.1,
25.91271649,-80.13785033,59:23.7,9/18/20,8,0.087,76.26,-7.021223217,1.64,77.5,72.74,-1.27,9.2,31.3,0,3.33,3.33,95,36,512.3,16.2,-2.2,D,950,0,10.052,2,0,174,33.79,-80.13779444,25.91279162,0,0,1,N,1.138721,49,49,11,5,5,35.60605,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.09,1537.44749,9/18/20,10:39:39,30.12,40.97,26.09,0.815,8.25,-74.8,-5.6,-1.4,-1684,71.8,4.69,13,
25.91272017,-80.13785133,59:24.7,9/18/20,8,0.26,76.26,-7.021223217,1.64,77.7,72.94,-1.78,8.2,31.3,0,3.33,3.33,95,36,512.3,16.2,-2.2,D,950,0,9.773,2,0,174,35.61,-80.13779444,25.91279162,0,0,1,N,1.397954,46,46,11,5,5,37.43542,0,9999.99,3.32,3.447,2,9,30.6,0,30.60000038,26.1,1537.45781,9/18/20,10:39:40,30.12,41,26.1,0.829,8.25,-74.7,-5.3,-2.9,-2524,71.6,4.68,12.9,
25.912723,-80.13785233,59:25.7,9/18/20,8,0.188,76.26,-7.021223217,1.64,77,72.27,-1.58,9.5,31.3,0,3.35,3.35,95,36,512.3,16.2,-2.2,D,950,0,9.578,2,0.01,174,37.19,-80.13779444,25.91279162,0,0,1,N,1.661229,48,48,11,5,5,38.99133,0,9999.99,3.33,3.457,2,9,30.6,0,30.60000038,26.08,1537.43707,9/18/20,10:39:41,30.12,40.96,26.08,0.802,8.24,-74.5,-6.2,-0.7,-3434,71.5,4.68,13.2,